market_value,age,height,attacking,technical,tactical,defending,creativity,saves,anticipation,ball_distribution,aerial,avg_score_last_12_months,appearances_last_12_months,point_of_tournament,pos_D,pos_F,pos_G,pos_M,foot_Both,foot_Left,foot_Right,cluster
205,25,175,52,61,45,46,53,0,0,0,0,7.32,30,1341.05,False,False,False,True,False,False,True,2
145,32,193,34,48,61,74,41,0,0,0,0,7.45,26,1341.05,True,False,False,False,False,False,True,3
230,31,178,48,57,47,48,54,0,0,0,0,7.27,33,1341.05,True,False,False,False,False,False,True,3
205,24,180,38,53,53,59,47,0,0,0,0,7.19,29,1341.05,True,False,False,False,False,True,False,5
310,28,180,64,80,40,33,57,0,0,0,0,8.03,25,1341.05,False,False,False,True,False,True,False,6
210,33,188,52,62,53,51,53,0,0,0,0,7.65,21,1341.05,False,False,False,True,False,False,True,2
140,37,173,49,65,43,43,47,0,0,0,0,6.97,29,1341.05,False,False,False,True,False,False,True,2
160,21,183,46,61,36,38,48,0,0,0,0,6.97,30,1341.05,True,False,False,False,False,False,True,3
310,28,183,0,0,27,0,0,50,36,52,53,7.09,32,1341.05,False,False,True,False,False,True,False,0
270,27,175,61,66,30,28,63,0,0,0,0,7.56,30,1341.05,False,False,False,True,False,False,True,2
